,ID,R,R_SD,G,G_SD,B,B_SD
169,hb-sid36,203.87,29.38,154.9,23.99,113.42,18.31
170,JR-sid01-2,205.73,36.34,158.38,34.49,118.46,28.65
171,JR-sid02,179.44,37.6,130.28,31.37,97.77,23.02
172,JR-sid04,194.13,37.82,156.18,35.88,115.67,30.74
173,JR-sid05,215.19,36.21,170.44,36.82,131.01,33.1
174,JR-sid06,173.82,33.43,129.44,26.77,96.41,21.35
175,JR-sid07,188.17,29.92,130.6,25.9,93.78,18.37
176,JR-sid08,205,24.08,157.62,20.45,111.5,16.71
177,JR-sid09,209.25,26.61,162.06,21.69,118.99,16.94
178,JR-sid10,213.92,32.75,168.14,30.81,126.11,26.71
179,JR-sid11,222.98,25.92,174.64,25.51,125.63,24.89
180,JR-sid13,229.44,27.72,187.21,27.33,140,26.02
181,JR-sid15,209.23,37.73,166.75,36.21,126.18,32.13
182,jr-sid17,208.94,32.75,163.96,29.74,126.79,24.37
183,JR-sid19,214.41,27.45,160.19,25.03,105.04,20.76
184,jr-sid20,210.1,26.93,163.01,23.84,123.99,20.32
185,JR-sid22,195.37,33.92,146.1,29.16,103,20.6
186,JR-sid23,225.75,30.42,179.71,29.39,136.86,26.01
187,JR-sid24,190.27,36.32,143.34,30.55,103.67,22.81
188,JR-sid25,200.64,33.63,152.74,28.7,106,20.66
189,JR-sid26,208,27.9,163.97,24.68,131.96,22.19
190,JR-sid27,195.14,25.94,143.48,22.06,94.15,17.49
191,JR-sid28,203.67,40.75,151.88,35.15,111.24,26.82
192,JR-sid29,212.87,40.18,162.5,37.53,119.44,32.37
193,JR-sid30,232.1,33.56,186.83,35.96,148.23,35.08
194,JR-sid31,208.68,29.83,154.16,26.09,108.37,19.84
195,JR-sid32,201.52,37.21,148.02,33.53,115.57,26.71
196,JR-sid33,169.46,34.04,125.54,27.26,94.28,20.12
197,JR-sid34,200.31,40.23,158.33,37.43,115.32,29.17
198,JR-sid35,216.27,30.74,169.49,29.68,123.95,27.13
199,JR-sid36,205.68,28.28,155.16,24.52,108.03,20.28
200,JR-sid37,205.63,34.74,154.26,31.2,116.86,27.79
201,JR-sid38,209.52,28.78,155.43,26.61,124.15,25.16
202,rev-sid01-2,223.25,27.75,173.39,25.92,123.59,21.65
203,REV-sid02,202.05,31.95,153.76,28.82,111.56,23.08
204,REV-sid03,211.5,33.45,161.68,32.55,121.16,27.99
205,REV-sid04,226.77,29.09,179.63,28.68,128.97,24.66
206,REV-sid07,219.65,32.37,166.67,31.65,117.49,29.48
207,REV-sid08,218.99,35.59,172.56,34.83,128.96,30.82
208,REV-sid09,223.34,28.2,172.09,25.52,131.79,21.56
209,REV-sid10,213.06,32.77,174.78,31.31,133.13,28.42
210,REV-sid11,200.65,28.69,154.65,24.7,112.05,18.48
211,REV-sid12,215.02,28.82,162.23,26.59,119.28,23.02
212,REV-sid13,222.92,34.13,182.87,34.1,139.46,32.43
213,rev-sid14,207.69,31.69,155.85,29.23,117.12,25.51
214,REV-sid15,205.19,30.73,154.22,26.72,103.95,19.1
215,rev-sid16,213.46,31.16,161.67,28.25,107.69,20.78
216,REV-sid17,215.37,33.67,166.3,33.07,123.39,25.8
217,REV-sid18,214.43,27.95,165.24,27.54,124.53,26.79
218,REV-sid19,203.78,33.92,157.24,32.23,118.27,27.61
219,REV-sid20,208.83,27.32,160.01,26.37,115.12,23.79
220,REV-sid21,231.98,26.65,184.51,26.4,129.84,28.4
221,REV-sid22,208.53,30.67,156.51,27.23,103.11,20.24
222,rev-sid23,208.68,36.72,158.84,32.99,120.43,26.22
223,REV-sid24,218.11,30.16,171.58,27.54,126.31,23.65
224,REV-sid25,217.88,25.94,169.33,23.46,123.15,20.57
225,rev-sid26,235.97,26.69,193.52,25.72,155.08,26.15
226,REV-sid27,214.12,31.42,162.43,28.59,105.52,21.5
227,REV-sid28,200.86,31.65,156.61,28.73,116.1,24.31
228,REV-sid30,218.06,28.42,168.49,26.17,113.04,22.66
229,REV-sid32,205.04,27.76,152.82,23.13,99.69,19.33
230,REV-sid33,223.1,26.11,175.26,22.36,129.96,19.55
231,REV-sid34,214.68,24.59,166.24,21.83,121.48,19.13
232,REV-sid35,212.78,27.83,163.54,25.03,112.19,24.46
233,REV-sid36,221.01,33.32,174.93,33.36,122.83,28.77
234,sc-ssid01,171.98,32.7,127.75,27.56,94.64,20.8
235,sc-ssid02,192.31,30.73,143.31,25.41,104.53,18.42
236,sc-ssid03,178.08,34.59,128.91,26.32,89.34,16.76
237,sc-ssid05,174.25,35.36,133.91,28.62,102.92,21.61
238,sc-ssid06,226.17,31.62,179.39,31.66,134.78,28.67
239,sc-ssid07,165.69,24.79,116.07,18.42,87.59,14.41
240,sc-ssid08,190.35,38.33,144.68,32.58,108.13,24.03
241,sc-ssid09t11,243.69,23.55,198.03,24.66,144.7,28.53
242,sc-ssid09t2,203.96,36.51,157.74,32.6,115.64,27.78
243,sc-ssid10,194.16,28.78,139.53,22.24,97.18,17.13
244,sc-ssid11,191.03,29,145.51,23.46,111.85,17.94
245,sc-ssid12,182.71,37.41,133.4,29.11,93.83,18.99
246,sc-ssid13,181.73,29.2,131.52,24.6,95.24,20.79
247,sc-ssid14-2,211.5,34.06,165.61,29.5,133.71,24.24
248,sc-ssid15,179.76,26.96,124.87,19.63,84.23,13.65
249,sc-ssid16,183.65,30.62,129.32,23.48,94.68,17.78
250,sc-ssid17,168.58,30.92,126.24,23.65,93.82,16.97
251,sc-ssid18,183.97,30.25,138.05,24.07,105.29,16.91
252,sc-ssid19,187.85,36.24,141.05,31.44,105.37,22.91
253,sc-ssid20,173.86,29.06,130.71,24.62,98.2,20.58
254,sc-ssid21,193.13,24.95,143.81,20.44,108.58,15.63
255,sc-ssid22,175.67,25.59,129.13,19.79,86.19,14.8
256,sc-ssid23,183.31,28.97,136.18,23.94,94.1,16.99
257,sc-ssid24-2,175.34,29.76,127.9,23.24,89.69,16.91
258,sc-ssid25,204.98,25.28,154.12,21.26,106.34,17.54
259,sc-ssid26,194.34,27.68,136,21.04,85.72,15.07
260,sc-ssid27,192.59,40.63,147.24,34.84,106.55,25.7
261,sc-ssid28,181.65,34.18,135.74,27.07,102.88,19.73
262,sc-ssid29,170.52,29.07,122.74,22.38,88.11,18.02
263,sc-ssid30,210.8,28.84,155.19,24.35,120.86,19.82
264,URB-sid01,188.17,37.73,142.37,31.8,100.87,22.6
265,URB-sid02,216.68,34.14,177.66,32,137.58,27.88
266,URB-sid03,167.08,33.87,126.4,27.04,95.47,18.97
267,URB-sid04,163.39,29.85,121.69,24.1,88.41,18.28
268,URB-sid05,169.49,40.82,129.39,32.89,99.11,23.07
269,urb-sid06,180.26,33.41,136.86,26.94,108.29,20.24
270,URB-sid07,174.82,37.15,134.74,31.94,101.06,24.34
271,URB-sid08,198.78,38.41,149.41,32.46,98.84,23.32
272,URB-sid10,207.02,36.74,162.68,35.92,121.5,34.29
273,URB-sid11,190.69,42.89,146.64,37.65,105.54,28.2
274,URB-sid13,209.72,35.86,168.03,34.41,128.09,31.52
275,URB-sid14-2,186.56,40.05,143.11,33.74,100.54,22.62
276,urb-sid15,199.82,38.11,156.96,34.7,126.09,29.18
277,URB-sid16,206.8,34.9,160.35,30.61,123.88,26.55
278,urb-sid17-2,183.3,31.63,133.54,24.29,95.68,15.59
